final_score,P1,P2,P3,P4,P5,P6,P7,P8,dscr,post_loan_emi_ratio,loan_to_income,payment_streak,insurance_coverage,savings_buffer_months,income_growth_slope,w_platform,w_vendor,work_type,product,approved
649.6714153011233,0.7548803173004448,0.7864160386165563,0.674575253969098,0.7759455406868488,0.7008307061036195,0.7855339744466979,0.5438164027321398,0.7185263355213887,1.0468735556726094,0.5186674780197887,2.818787042971491,9,0.4024634576848096,1.261269075728016,0.38788903444702777,1,0,platform_worker,growth,0
586.1735698828816,0.6537763370269468,0.7698242755960235,0.8455389129569746,0.5791997125387338,0.7493960608122261,0.4984613744925348,0.7679854126399022,0.7170570682344537,1.9822003847510827,0.2780911786070152,3.219785362423359,8,0.19436743089184003,0.6593197387788037,0.44000286435000385,0,1,street_vendor,emergency_micro,1
664.7688538100692,0.780110470611429,0.9380521852696676,0.8733753811826369,0.8987587622127802,0.6792968410443448,0.7241514489173864,0.7017104797770736,0.7329750919526566,2.1646752057002203,0.12687191430623884,1.3615372541618325,9,0.4127781481401955,2.4095856514394076,0.33755216049992415,1,0,platform_worker,growth,0
752.3029856408025,0.6702260694161878,0.5078736455721065,0.8125965446780831,0.8572839832392573,0.4682740801310557,0.6854551572774634,0.5295749796351156,0.5673383879447239,1.8912293687998514,0.3761223446237706,5.720020672496505,18,0.2991076565624656,1.1415559033131393,0.6802473501548594,0,0,skilled_tradesperson,income_bridge,0
576.5846625276664,0.7459608897652975,0.8513558590870358,0.7089560475315267,0.8896172564791343,0.8059178012882846,0.5103190716951559,0.7750919087365686,0.7976716880016469,2.971855811396888,0.35183924474170664,5.621927262475442,11,0.16513453394864763,0.9550021038589679,0.5218924666254308,1,0,platform_worker,growth,0
576.586304305082,0.8114403135085092,0.47413267862972336,0.527160342890021,0.7169804969011108,0.703098928058472,0.8191416822019365,0.9166852164215518,0.8220195898278193,1.4782815919168468,0.5102807812447915,1.1437781244528795,7,0.07618425000353744,1.845261636959969,0.3363857632021652,0,1,street_vendor,growth,0
757.9212815507392,0.7995085370362288,0.3237502774874181,0.6366605771714557,0.7224900890355335,0.9645537970248972,0.7227569174525643,0.7434950235508153,0.8771966902598531,1.6188766067472427,0.2644959456372029,1.883048653276333,12,0.1667431498812016,2.3458778336719677,0.7549543244233943,0,0,freelancer,growth,0
676.7434729152909,0.9652744522348906,0.7719806639339357,0.6135280028215521,0.9125564292821369,0.6016786075342212,0.2446683421486433,0.6244110966550447,0.724733102491581,2.108812936242419,0.06013661263581871,2.4735535082464675,8,0.04887657785706327,1.9118883541024034,0.393019820971358,1,0,platform_worker,emergency_micro,1
553.0525614065048,0.8476051582232468,0.6994440711185462,0.7713787937448889,0.46860145592493113,0.8116712524865668,0.9450393669369832,0.9000530677777705,0.6994981480651002,2.2147514193805025,0.1579626557542011,3.082199215931133,9,0.04424956033876849,1.9001108039185184,0.48640192013890177,1,0,platform_worker,emergency_micro,1
654.2560043585964,0.7362756283886133,0.7284542546541063,0.803475835659688,0.4706229904015237,0.9585122856818804,0.9537231132370917,0.8382798891145644,0.6979372703857446,1.2602330653639213,0.15859778367233437,0.7206372351678133,3,0.0029224036817408388,2.0300121655895453,0.3001532471329138,1,0,platform_worker,income_bridge,0
